jml_lantai,ruangan,luas (m2),harga
0,1,20,219000
4,3,101.13,758475
1,3,83.68,790000
3,3,55.3,386547
5,1,75.52,359000
2,1,24.06,238000
3,4,127,1650000
3,2,50.87,422221
3,2,55,419000
2,2,46,485000
2,1,45.03,445797
4,2,49.98,414834
2,3,61.94,620000
0,1,32,345000
1,1,27,171000
0,2,82.29,649000
0,2,62,358000
2,1,20.97,207000
3,2,37.56,285000
1,2,28.07,221753
4,4,67.86,469000
0,2,43.89,299000
5,3,65,429000
1,2,28.07,221753
4,2,49.98,414834
3,2,49.8,413340
2,2,59.3,509980
4,3,55.3,386547
2,2,46.01,484840
0,4,210,1250000
2,2,87.52,649000
2,3,98.05,1499000
0,3,86.64,1435000
3,2,49.8,413340
2,2,53,448500
1,2,59.2,367040
0,1,23,249000
5,3,84,678100
2,4,83.56,1900000
3,4,100.39,870000
5,1,28.1,189000
1,3,176.26,1216194
2,2,71.45,489432.5
1,2,51,424000
2,2,32.96,296640
3,2,58.44,499000
5,1,29,189000
0,2,40.3,369000
3,2,58.44,499000
2,1,25,239000
3,2,48,450000
3,4,107,630000
1,2,59.2,367040
1,2,69.58,476623
4,2,42.12,485000
1,3,46,349000
3,2,45,359000
1,2,32,575000
4,2,33.77,287045
1,2,68.2,580000
2,2,49.4,410020
2,3,61.94,620000
4,5,232,3500000
5,2,55,880000
2,5,113,1300000
1,3,86,767000
1,4,88.3,618995
1,1,29.7,260000
3,2,42,695000
4,1,27.7,274900
3,3,62,835000
1,2,55.6,440000
5,10,244,536800
0,2,51.55,549000
1,2,74,950000
4,4,62.4,399000
1,3,62.4,460000
1,2,47,539000
4,3,62.3,459000
1,2,75,945000
4,2,45.7,355000
2,4,126,740000
4,3,126,629000
0,3,70,480000
2,2,42,580000
6,3,77.97,1280000
4,2,41.5,490000
1,2,44,355000
4,5,158,1230000
4,2,67.77,582822
2,3,65,799000
4,1,33.19,428151
6,4,138.08,2700000
6,5,175.1,3150000
1,1,22,177500
0,1,25.06,319000
1,2,49,475000
3,1,51.49,442814
2,2,40.95,495000
4,3,87.41,428000
2,2,39,285000
1,2,58,425000
0,2,63,548000
0,3,75.27,369000
3,2,39.88,369000
2,2,57.87,329000
4,3,76.43,620000
2,2,43.91,495000
4,3,63,348000
0,2,51.55,528000
2,4,102.5,1290000
2,2,29,285997
4,2,63,790000
1,2,45.51,299000
6,5,175.1,3100000
1,4,125.29,989791
2,2,36.5,329000
2,1,27.4,279000
4,3,56,460000
0,2,43.56,499900
0,2,80,552000
0,1,27.53,349000
1,3,117.72,2200000
2,3,57.11,475000
3,2,76.5,689000
3,2,51.3,395000
4,4,87,428000
3,1,24,255000
1,3,79,930000
1,2,37.8,275940
3,1,35,315000
2,3,108.49,857071
0,2,35,279000
1,3,86.69,359900
3,2,41.32,330518.68
0,3,46.09,579000
0,2,43,499000
2,2,45,460000
0,3,25,369000
1,5,200,4200000
1,2,61,1098000
1,2,58.34,667000
2,3,64,680000
2,4,85,545000
0,1,34.5,330000
4,2,68,299000
0,3,43.56,499000
2,4,121.4,1499000
2,3,96,1290000
3,4,77,459000
3,2,44.1,359000
1,2,65,520000
1,2,46.61,630000
0,2,51.52,649000
3,4,126.74,1001246
2,2,62,1116000
3,2,51.3,394900
3,1,26.11,287210
2,2,39,285000
1,5,124.41,690000
0,3,43,390000
4,2,42,490000
0,1,26.49,339000
1,2,33,329000
0,3,43.56,499000
2,4,48.4,280000
1,5,144.9,1500000
0,3,64.5,620000
2,2,48.4,280000
6,4,138.08,2400000
0,2,43.56,499000
1,3,120,2200000
3,4,126.74,1001246
2,4,124.17,599000
3,2,51.49,442814
3,4,125,949000
6,5,175.1,3150000
3,2,43,387000
1,2,60,619000
2,2,38.92,335000
0,2,43.86,367900
1,2,47,399000
0,2,40.3,369000
0,2,80,552000
0,1,20,279000
0,1,16,282000
0,2,51.55,528000
3,2,42,490000
1,3,120,2200000
3,4,72,459000
0,1,16,282000
6,4,138.08,2400000
0,4,107,640000
4,3,63.28,348000
5,1,13.3,113900
1,3,61,495000
2,4,108.49,857071
0,1,22.9,380000
4,3,67.77,582822
3,4,150,3390000
2,2,38.92,285000
1,3,117.13,2200000
0,1,51.55,549000
3,2,44,359001
6,7,313.18,5550000
4,2,41.55,530000
3,3,59.72,299900
1,4,88.3,619000
5,4,90.59,1600000
