jml_lantai,ruangan,luas (m2),harga
8,3,61.5,629000
1,3,59.5,479000
10,2,47,370000
7,4,70.4,499000
1,1,20.24,209000
2,3,60,520000
8,3,46.2,495000
1,3,53,468000
3,2,38,320000
8,3,57,388000
0,3,48,349000
2,3,53,515000
1,3,52.5,468000
6,2,48,470000
8,3,57,388000
1,3,52.5,468000
6,1,30.8,235000
8,3,56.2,615000
1,1,32,254000
8,1,33,300000
3,2,38.88,365000
5,2,43,585000
5,3,52.5,449000
4,3,65,440000
3,4,57.5,537000
4,2,35,292000
0,1,26,320000
9,4,92.5,599000
0,3,59.95,520000
1,3,60,675000
0,2,37.85,349000
3,2,34,360000
10,3,58.51,435000
2,2,36.02,280000
0,3,57,440000
3,3,42,359000
1,3,50,445000
1,3,51,455000
1,2,46.8,536900
1,3,62,650000
1,4,59,445000
7,3,57.57,416000
0,4,80.6,549000
5,2,41.26,299000
10,1,37,287000
2,3,60,520000
8,1,25,242000
0,3,66,610000
3,2,37.4,359000
3,3,50,545000
7,3,63.6,630000
4,4,65,455000
3,3,48.78,440000
3,2,38,360000
10,1,37,290000
1,2,49.92,370000
6,1,30.96,349000
10,2,47,370000
4,3,48.4,480000
1,3,62,445000
0,3,57,518000
3,2,36,285000
10,2,33.5,269000
2,4,74.2,515000
1,2,45.5,399000
7,2,44,520000
1,4,79,634000
1,4,51,510000
4,4,69.5,597000
5,2,51,549000
8,5,67,800000
2,2,50.1,476000
10,3,61.8,530000
4,4,78,570000
0,3,50,530000
0,2,43,320000
8,4,76.5,755000
3,2,26.7,379000
0,4,58,649000
1,3,52.5,468000
9,3,60,648700
0,2,38,420000
3,4,65,845000
2,1,40,399000
1,3,82.4,520000
1,3,59.4,683000
0,3,51,437000
1,2,45.5,399000
5,4,58,665000
0,1,28,380000
9,1,25,235000
8,3,44,475000
8,2,39,419900
1,3,64,399000
5,3,51,467000
0,2,42,375000
2,2,49.3,438000
3,3,50,499900
7,3,61.14,549000
0,3,47.2,409000
3,1,25.5,247000
1,2,45,399000
5,3,53,509900
10,3,60.2,539000
3,1,26,247000
7,2,48.97,575000
5,3,58,595000
7,2,48.8,330000
0,3,62.5,470000
3,3,60,595000
2,3,63.3,419000
4,1,27.86,250000
1,5,72.6,598000
3,2,48.5,465000
1,2,33.18,350000
4,1,29.34,289000
4,3,46,472900
3,3,58,499000
4,5,85.2,620000
8,2,38.7,419900
0,6,260,2800000
0,2,37,425500
4,3,62,450000
1,2,45.5,399000
5,2,37.5,284000
10,2,47.34,375000
3,3,55,595000
10,3,53,495000
4,4,69,597000
4,3,67.27,672000
0,3,49.5,584150
3,3,48,367000
3,2,38,450000
1,2,45.5,385000
0,3,68.9,567000
2,3,53,510000
3,3,90,950000
1,2,36,289000
7,4,70.4,499000
3,3,75.3,649000
10,3,50,425000
2,4,64,595000
5,3,44.65,480000
1,2,34.1,385000
3,1,26,247000
5,4,72.64,766000
1,2,46.9,319000
3,4,57.5,537000
8,1,28,290000
1,4,64.9,470000
0,4,65,480000
4,5,67,535000
6,3,64,528000
6,1,34,289000
10,4,53,495000
0,3,48.34,469000
8,1,33.2,300000
10,3,58.51,440000
10,2,33.5,269000
7,4,73.6,519000
1,3,63,438000
5,3,67.16,599999
1,4,61.7,535000
4,4,74,470000
3,2,37,430000
4,3,45,655400
1,2,45.5,399000
5,3,56,510000
5,2,51,479000
3,3,58,798000
1,2,41.1,375000
1,3,52.5,468000
4,4,70.5,519000
0,2,50,599000
1,1,32.19,299000
1,2,36,349000
0,2,29,409999
7,4,70.4,499000
0,3,59,510000
4,3,53,440000
7,1,30.9,380070
0,3,46.9,409000
1,3,64,609000
5,3,61,510000
6,3,46.5,539000
3,4,62,510000
10,3,57,450000
4,2,52.2,412000
9,3,63.3,554000
1,3,52.5,468000
7,1,31,365000
2,3,48,360000
4,3,61.67,450000
3,3,47.5,439000
4,4,74.1,449000
7,1,33,390000
0,3,60,472000
2,3,63.3,419000
0,3,44,419000
4,3,57,459000
0,3,61,670000
1,2,38.2,420000
4,1,25,245000
2,3,53,505000
5,2,51.9,549000
10,5,53.5,329000
1,2,52.7,430000
0,4,64.9,455000
7,2,49,575000
4,3,67,665000
7,2,49,575000
7,2,32,449000
0,1,24,260000
1,3,52.5,468000
4,2,47,405000
8,2,54,415000
1,2,45.5,385000
7,4,67,490000
1,2,45.5,399000
7,2,49,575000
4,3,63.2,660000
8,3,77.9,595000
4,3,61.67,450000
10,1,26.9,349000
3,2,32,350000
0,4,84.9,730000
7,4,66.92,490000
3,3,68.8,660000
8,3,60.1,560000
0,2,39,339000
9,3,65,555000
4,2,33,329900
1,3,55.78,549900
0,2,38,279900
10,4,111.3,920000
1,3,51.17,450000
5,3,58.8,519000
10,1,37,291000
5,3,69,549500
1,3,74,899000
8,3,57,388000
2,2,39.2,370000
0,4,73.5,680000
1,2,46.13,460000
10,1,30,240000
2,4,73.7,699000
3,3,55,365000
3,1,26,247000
0,3,61,670000
4,2,46,420000
4,2,52.6,430000
10,3,111.39,920000
2,3,54,569000
0,3,68.9,579000
3,3,44.5,350000
1,3,67,669000
9,3,54.9,490000
0,2,49,389000
5,2,53,585000
5,3,46.8,489000
3,4,62,426000
0,4,74,649000
10,3,55.2,469000
2,1,35,305000
4,2,52.6,416000
3,4,81.9,740000
3,4,68.1,669000
9,1,26,320000
8,3,56.2,615000
9,3,63.3,559000
8,3,62.7,413000
3,2,48,479000
1,5,124,1600000
4,1,31.2,360000
6,6,68,693600
4,5,58,749000
1,3,60,490000
3,3,69.2,404000
4,3,50,460000
0,1,29,275000
10,2,38,379000
1,2,31.24,410000
4,1,28,250000
1,3,62,550000
1,3,61,579000
10,1,32,269000
9,2,35.6,356000
7,4,70,499000
1,2,45.5,399000
3,3,43,359000
2,3,59,510000
4,2,35,350000
8,3,56.2,470000
6,2,43,453000
4,1,28,255000
2,3,67,520000
8,2,38.2,293000
8,1,31.3,404000
2,3,53,510000
9,5,72,547900
4,2,42.98,359000
2,3,50,589999
8,1,33.2,315400
9,3,56,438000
7,3,51,660000
2,5,60,520000
7,2,49,539000
10,4,61.6,720000
4,1,30,270000
4,4,65,384900
10,2,38,275000
9,3,61.5,489000
3,1,31,389000
0,3,48.5,442000
1,3,66,559000
9,4,71,600000
3,3,63,538900
7,3,56.8,520000
4,3,58.2,495000
10,2,48,340000
8,3,61.5,629000
3,3,63,636300
1,3,52.5,468000
4,2,37.3,269000
3,3,60.6,590000
4,1,31.2,360000
7,2,54,430000
4,2,49.5,505000
9,2,51,450000
10,2,46,460000
8,3,67.9,820000
8,2,38,293000
8,2,45.8,540000
0,4,85,730000
10,3,57,440000
0,3,66,679000
2,3,60,630000
3,4,47.04,529000
7,4,70.4,499000
2,1,32.63,305000
5,2,51.9,549000
3,3,44.5,350000
8,3,61.14,629000
5,3,50,518000
3,2,41.9,465000
1,2,53,455000
3,3,64.9,477000
6,2,38,260000
4,4,48,491000
1,2,46,450000
4,1,34.5,300000
1,1,24,239000
8,3,44,439000
9,3,66.9,464000
10,4,68.2,419000
9,3,59,1859000
3,3,58,499000
0,3,53.46,295000
9,1,27,242000
1,3,52,468000
5,2,37.2,285000
2,2,38,435000
3,1,25.37,247000
1,1,26,299000
8,2,50.1,509000
6,2,34.5,339000
1,1,25.6,299000
1,2,46,480000
4,1,26,250000
5,2,35,405000
0,3,48.5,442000
5,2,38,289000
4,3,61,360000
0,2,38,275000
4,3,60.4,500000
1,3,57.59,420000
9,4,66,625000
2,3,63.3,419000
0,3,59,510000
1,2,38,382000
3,3,59.5,469000
0,2,36.5,409000
5,3,52,568000
0,1,40,350000
0,1,40,458000
3,2,30,320000
3,3,70.4,530000
5,3,67.16,600000
9,3,54.71,329000
3,2,43,375000
3,10,220,1050000
1,2,36.71,415000
4,3,65,420000
10,3,63,585000
3,3,45.63,454999
10,3,53,507000
8,1,28,379900
10,2,46,480000
1,3,47,369000
6,3,51.98,571000
10,3,53,495000
0,2,37,320000
2,2,34.5,339000
2,3,79.4,465000
1,2,42.9,320000
5,4,73,760000
0,4,65,480000
3,4,62,510000
7,4,70.4,499000
10,1,37,299000
3,1,35.36,269000
2,3,59,435000
0,2,38,285000
3,3,64.8,443000
9,1,24,299000
1,2,40.4,480000
2,3,53,515000
10,1,37,293000
0,2,38,249000
4,3,61.67,450000
1,2,34.1,385000
1,3,59,490000
7,4,49,425000
10,2,38.2,470000
10,1,24,250000
3,3,59.34,559000
2,2,52,390000
1,3,55.9,399000
1,2,46,519000
10,2,35.8,349000
3,3,73,460000
3,4,68.1,670000
5,2,50,430000
9,3,46.45,499900
3,2,28,263000
4,3,53,365000
1,1,26.62,249000
10,1,37,286000
7,3,49,538000
9,1,23.96,299000
0,2,42,320000
6,3,84.7,449000
3,3,56,535000
4,2,38,330000
7,4,70,499000
6,3,67.4,710000
3,3,63.6,450000
4,2,49.7,439000
5,3,67.17,600000
10,2,31,289000
2,2,35.2,310000
6,4,45,479000
0,3,72,540000
4,3,65,560000
10,3,62,619000
7,4,70.4,498997
2,4,64.9,480000
7,1,31,365000
6,3,62,532000
0,2,36.5,409000
4,2,33,329000
7,4,70.4,499000
6,2,43,453000
5,2,53.1,575000
4,2,32.9,329999
8,3,70,499000
1,1,30,455000
0,1,23.75,260000
4,3,52.8,450000
9,3,65.1,555000
0,2,37,315000
4,3,62.9,409900
0,2,44,510000
2,1,18.5,288000
2,4,65.39,668000
1,1,26.62,249000
3,3,58,410000
7,2,30.3,370000
3,3,52.9,610000
0,3,59,510000
0,3,46.9,430000
8,1,28,369900
5,2,44.6,349000
9,5,65.2,640000
2,2,50.5,475000
3,2,34,420000
4,2,76.15,1794415
4,3,56,460000
9,4,66,625000
3,3,69.2,408000
3,3,45.63,454999
2,2,37,345000
4,2,55.86,310000
5,2,37,318000
2,3,61,650000
9,2,35.6,356000
3,4,62,396000
6,3,63.4,449000
2,5,118,1300000
5,4,73,750000
2,1,19.24,195000
4,3,50,415000
4,2,37,269000
4,4,70.5,539900
4,2,49.5,505000
2,3,53,510000
1,3,61.7,479000
6,2,38,350000
4,1,25,510000
3,4,62.3,399999
4,3,59.7,379000
3,2,35,329000
4,4,80.6,469000
1,3,64,630000
7,2,37,359000
9,3,56,438000
0,3,48.5,442000
1,3,66.2,595000
3,4,64.9,359000
5,4,96.27,1200000
10,1,32,250000
4,3,49,439000
1,4,60,595000
3,3,46,454999
4,4,73.1,529000
4,3,58,539999
8,3,60,560000
10,3,57,450000
6,2,41,469000
10,3,69.7,400000
4,3,61.67,450000
7,4,70.5,499000
10,3,57,395000
4,3,53,339000
8,1,33.2,300000
3,3,52.9,610000
10,2,37,435000
3,2,48,384000
3,4,57.5,537000
7,2,54,430000
10,1,27.6,339000
3,1,32,259000
0,3,48.5,442000
10,2,48,399000
7,1,33,397000
9,5,72,547900
9,3,59,510000
3,3,62,396000
2,2,46,399000
0,3,56.2,499000
3,2,42,389000
4,3,68.4,1465000
10,2,51.38,355000
0,2,38.1,305000
7,4,70.4,499000
5,2,51.9,549000
10,1,32,259000
7,4,56.4,475000
8,1,17,315000
8,3,57,388000
5,2,37,284000
3,4,64,569000
10,2,43.8,430000
5,3,57,626943
1,3,79.2,405000
3,3,73.6,550000
7,3,67,660000
3,2,49.5,599000
9,4,74,830000
9,2,47.8,450000
4,4,70.5,499000
1,2,46,480000
6,3,63.4,429000
9,3,65,560000
4,3,60,595000
9,2,40,564000
6,2,45.6,499000
0,2,44,530000
3,4,71.9,700000
10,3,60.1,560000
8,3,52.16,469000
0,3,68.49,578000
2,3,50,512500
2,4,73.7,809900
9,3,60,649000
3,3,67.32,650000
0,2,46,414000
9,2,51.64,449000
6,3,51,424000
0,5,65,600000
3,3,47.3,329000
10,2,46,440000
4,2,42,470400
3,4,72,700000
5,3,56.2,500000
1,3,63,589000
10,3,68,650000
4,2,42,470400
3,4,71.9,700000
3,3,66,598900
6,3,56.8,549876
4,3,63,579000
5,3,57,626943
4,2,42.5,470400
1,1,47,470000
5,1,31,369000
6,2,42,554000
10,2,38,379000
10,4,76.6,460000
3,4,63.4,615000
7,2,49,539000
7,3,59.3,525000
10,2,48,385000
4,3,53,437000
10,2,36.33,330000
2,2,36,349000
1,3,59.13,510000
2,3,68,690000
5,2,53,439999
7,2,33.4,346000
2,4,91.61,659500
3,3,62,510000
2,3,60.2,600000
10,3,60.4,549000
3,3,62.5,510000
7,3,65.3,568000
9,3,60.3,450000
10,1,37,293000
0,3,52,465000
5,3,63.3,549500
7,2,49,539000
5,2,47,515000
1,2,53,430000
7,2,49,539000
9,2,47.2,489000
7,2,33.4,346000
5,3,70,690000
2,4,91.61,659500
6,1,33.1,350000
6,3,69.1,399000
1,4,87,660000
2,3,63.3,419000
3,3,63.4,615000
7,2,34,342000
6,1,33,350000
6,1,36,320000
1,2,47,470000
5,3,63,549500
1,2,46,519000
2,2,50.1,470000
4,3,59,450000
7,3,62.7,425000
5,3,70.2,690000
6,1,33.1,350000
5,3,62,599000
1,2,52,438000
7,4,77,850000
6,3,70,699000
5,3,62.3,599000
7,2,47,535000
7,2,48.5,535000
10,5,84,749000
3,3,62.5,510000
5,2,34,345000
3,1,32,259000
4,3,51,480000
3,3,62.4,510000
2,4,109.5,1250000
0,3,56.2,740000
3,3,62.4,510000
3,3,61.8,499000
0,3,62,598000
5,2,47,529000
10,3,45.5,390000
2,1,22.24,196000
1,3,53,375000
3,3,62,500000
0,3,52,480000
3,2,45,440000
3,3,62,500000
2,2,37.1,309000
0,2,37,399000
7,1,31,290000
1,2,46,469000
3,3,62,489800
0,3,57,439000
0,3,56,740000
0,3,72,610000
3,2,62,494800
1,2,46,480000
4,4,75,620000
1,3,73,581000
1,5,88.6,800000
2,2,48.8,329000
0,2,37,399000
3,4,73.5,448000
3,3,62,499000
3,2,50,345000
9,4,56.4,469000
2,2,46.8,458000
10,2,45,450000
1,3,73,581000
0,3,56,728000
8,2,28,399000
0,1,23,340000
3,3,63,617400
5,3,64,415000
8,3,52,575000
3,3,62,489800
4,1,37,305000
4,4,73.1,529000
1,2,38,355000
5,3,58,590000
0,1,23.5,340000
1,2,46,480000
0,3,62.4,450000
5,3,64,415000
8,2,50.7,429000
0,3,67.6,570000
9,3,46,435000
1,4,112,1099000
0,3,63,429000
3,4,63.35,615000
9,3,46.6,435000
7,3,60,499000
3,3,62,489800
5,3,70,549500
6,1,36,319000
1,1,23.2,340000
1,2,41.43,389000
3,4,63.4,615000
10,2,50.41,440000
2,3,63.3,419000
0,1,40,433000
0,1,23.2,340000
2,3,63.3,419000
1,4,200,1045000
8,3,60,540000
2,3,62,465000
8,3,52,550000
2,4,88,415000
2,3,62,465000
10,2,47.5,380000
8,2,53.7,449000
0,3,67.1,549000
1,2,41.7,499000
10,2,43.8,515000
10,2,48.8,355000
3,4,65,435000
1,3,61.8,617000
4,5,60,520000
2,2,50,476000
4,4,86,699000
4,2,50,347000
1,3,59.04,595000
1,2,60,550000
1,3,63,593000
4,3,65,554625
7,3,63.2,520000
4,3,65,554625
3,3,62.28,450000
10,3,59.7,565000
4,3,62.9,691000
0,3,67,820000
4,4,85.8,699000
5,2,50.5,440000
10,3,59.7,565000
1,3,63.9,437000
7,4,70,499000
0,2,50.4,632500
2,3,63,530000
10,3,71.6,799000
8,4,78.6,668000
5,2,50.5,440000
3,3,58.84,570000
10,3,72,690000
0,3,67,820000
2,3,62,465000
0,2,33,399000
10,2,47.5,380000
4,3,60,518000
1,3,60.7,460000
9,1,32,255000
2,3,62,465000
10,3,47.5,380000
4,1,28,250000
8,3,60,540000
7,3,48.3,480000
2,2,50.1,476000
2,1,25.78,278000
4,3,57,495000
3,1,44.33,445000
1,1,36,265000
3,2,47,545000
0,3,67,820000
4,2,51.87,445000
0,3,50.5,479000
4,3,84.5,860000
4,4,86,699000
10,4,77.33,890000
0,3,68.9,580000
4,2,39,429000
2,2,47,345000
3,4,72.6,629000
2,3,59.77,509000
8,4,56,385000
10,1,32,280000
4,2,44.31,385000
3,3,60.6,599999
3,1,25.4,240000
6,3,63.5,528000
5,2,30,369000
1,3,62,550000
2,3,63.4,450000
4,4,69.5,597000
5,2,47.3,650000
7,1,17,220000
10,2,47.8,350000
6,3,63.5,528000
3,3,70,659000
7,2,54,425000
9,1,21.77,249000
4,3,60,649000
4,5,86,620000
1,3,62,550000
9,2,53.8,430000
2,2,30.9,400000
9,1,25,235000
1,2,60,555000
8,2,46,457900
10,2,42,315000
0,3,53.08,455000
4,2,52,455000
4,2,28.5,340000
2,3,59,435000
1,3,56,539000
8,3,60,540000
4,2,46,420000
1,3,62.5,455000
2,3,63.9,530000
7,1,33,390000
10,3,48,599000
8,3,60.25,540000
2,3,67.2,715000
6,2,46.8,345000
10,2,38,339000
9,2,53,430000
6,2,37,477900
2,2,46.2,409000
1,2,53,460000
3,2,36,345000
2,3,59.1,360000
2,2,46.16,409000
6,2,46.8,325000
0,5,57,499000
10,2,42,315000
10,2,41.2,327000
6,1,25.97,350000
5,2,51,365000
9,3,45.49,499000
8,3,72.09,529000
9,2,52,445000
9,2,53.8,430000
10,3,62.4,592800
3,3,63,558000
1,3,62,550000
1,3,62,550000
10,2,53.8,439000
10,2,41,329000
1,3,62,550000
1,3,62,550000
4,4,86,699000
9,2,53.8,415000
7,4,70,499000
3,3,82.3,960000
4,3,63.1,401000
2,2,46.2,409000
0,2,50,350000
4,3,61,649000
10,1,43.2,319000
10,2,41,329000
9,2,53.8,430000
8,3,60.25,545000
3,2,53.1,399999
5,2,32.85,370000
1,3,65,540000
4,3,62.5,399000
1,3,62,550000
4,3,80,499000
5,2,32.85,378000
1,3,66.54,439000
7,4,70,499000
3,3,82.3,960000
0,2,52,450000
7,1,32.8,390000
9,4,74.5,699000
1,4,101.47,1199000
3,4,80.8,675640
4,3,60.6,465000
3,4,60,635000
5,2,31,370000
4,4,69.5,597000
2,3,47.3,359000
3,2,36,340000
10,3,63.4,476000
4,3,60.4,439000
6,2,36,444000
8,3,60,540000
8,2,45.31,458000
4,3,60.4,439000
0,3,56,539000
5,2,32.85,359999
5,2,32.85,369900
3,2,25.4,240000
0,3,63,425000
0,3,62.4,445000
4,5,85.2,620000
2,4,120,570000
8,3,70.23,620000
6,3,45,449000
8,3,70.2,620000
1,2,48,490000
1,2,47.8,490000
8,3,68.5,550000
6,3,61,598000
3,3,63,558000
3,2,28,263000
1,4,86.4,660000
7,2,34,295000
1,4,86.38,650000
8,4,70,620000
8,4,87.3,702765
0,3,67.1,549000
4,3,51,430000
1,4,86.4,650000
2,2,51.35,470000
0,3,53.5,440000
8,2,51.9,581280
0,3,63,470000
0,3,66.3,519000
2,3,105,570000
8,3,70,620000
6,3,66.8,670000
8,3,70.23,620000
9,4,77.1,659000
6,3,45,449000
4,3,59.1,430000
8,3,70.23,620000
1,4,84,849000
1,3,59.54,655000
9,4,77,660000
7,4,98.1,1150000
4,2,50,359000
1,6,185,200000
9,4,83,698000
3,2,53.1,430000
0,3,64,398000
1,4,86.4,650000
5,2,46.7,417000
1,4,87,660000
8,2,46,456000
2,1,24.5,340000
4,3,63.3,555000
10,4,74.6,445000
1,4,84,848000
1,4,86.4,650000
8,3,70,620000
8,3,70.23,620000
1,4,88,670000
8,3,70,620000
2,4,77,740000
9,4,77.1,659000
10,3,62.5,520000
4,3,63.8,550000
10,2,35,315000
6,1,31,375000
6,3,45,449000
0,2,54.2,414000
0,3,67,549000
4,3,50,499999
6,3,45,449000
3,3,74,589000
6,3,45,449000
0,3,62.5,470000
9,4,77.1,659000
0,3,64,398000
6,3,64,528000
3,3,63.4,420000
1,3,60.91,490000
8,4,70.23,620000
4,3,63.3,575000
3,3,56,480000
0,3,59,390000
3,3,60,499000
0,3,62.5,470000
3,2,47.04,529000
0,3,62.5,470000
3,3,61.8,520000
7,3,71.5,649000
4,2,51.7,455000
0,4,78.8,669000
2,3,59.5,405000
2,3,65.4,599000
0,3,62.5,609000
5,2,51,359000
7,2,60.5,519000
2,2,49.1,579900
8,3,63,600000
2,3,65.4,599000
10,4,111,920000
3,3,60,465000
1,3,65.03,585000
1,2,42,480000
1,3,63,560000
2,3,63.4,395000
7,3,73,640000
4,4,78.9,549000
7,3,72,649000
2,3,63.4,395000
0,3,62.7,429000
10,1,32,290000
2,3,63,620000
1,3,63,560000
3,6,78.8,849000
2,2,49.1,579900
1,3,63.2,560000
1,3,60.7,420000
1,3,78.9,463000
3,4,84.9,577000
3,4,80.24,639000
1,4,91,1200000
1,4,91,1200000
2,1,35,340000
1,3,65.5,715000
2,3,78,695000
1,4,61.5,665000
5,2,50.7,490000
0,3,67.1,549000
1,3,62.5,550000
1,4,60.16,682000
5,4,83.5,780000
1,3,63,587000
2,1,36,330000
3,2,50.25,520000
3,3,64,569000
0,2,44,390000
2,3,48,437000
2,3,64.8,413500
5,1,34.21,376000
5,2,50.7,480000
3,2,80,639000
3,3,64,599000
0,3,70.8,589000
1,3,61,420000
4,3,63.3,319000
3,2,43,380000
4,3,60.8,480000
6,4,86.42,985000
3,3,60.6,599000
6,3,63.4,439000
4,3,62,670000
1,1,26.62,249000
3,3,80.24,639000
4,3,61.4,530000
2,1,35,335000
4,3,60.8,480000
3,3,58,421000
0,3,67,549000
1,3,62.5,550000
3,3,61.66,629000
2,3,64.8,404000
2,3,48,427000
0,2,52.9,559000
0,3,67.1,549000
2,3,67,520000
5,2,50.7,480000
3,2,49,429000
3,3,66.3,451000
0,2,46.2,465000
1,2,48.8,359000
4,3,69,630000
0,2,46.2,460000
3,3,66.48,449000
3,3,64,580000
1,2,60,550000
3,2,53,570000
1,4,80,699000
1,3,64.9,415000
1,4,65,490000
2,3,60,510000
3,3,59.1,405000
4,2,51.4,498000
4,3,64,510000
6,3,69.3,762000
4,2,51,455000
0,2,52,519000
3,2,49.6,429000
0,3,64,544000
3,2,45.35,265000
4,3,58,475000
2,3,82.8,1200000
6,3,69,499000
3,2,49.6,429000
3,2,50,425000
1,3,60,559000
3,2,53,569000
5,2,50.7,480000
4,4,73.2,439000
2,4,70.5,665000
2,4,88,780000
3,2,49.6,429000
3,2,53,569000
3,3,63,558000
9,2,46,445000
0,2,42,549700
1,4,78,750000
2,4,73.7,550000
5,2,50.7,480000
0,3,64,695000
3,4,63.6,450000
1,5,100,1200000
2,3,63,459000
10,3,63.2,599000
4,3,63.4,549000
0,2,52,455000
3,4,64.9,414000
9,3,65.9,419000
3,2,49.3,349000
0,2,46,469000
4,4,69,630000
4,3,60,520000
1,3,87.7,700000
3,2,53,570000
4,3,61,720000
5,3,64,540000
0,5,84.58,919000
3,4,73.9,450000
3,2,49.6,429000
2,3,60.5,515000
1,2,60,555000
4,3,69,630000
1,2,43,620000
2,1,36,330000
0,3,48.5,442000
0,2,46,460000
0,2,46,460000
2,3,67,715000
0,3,64,469000
7,3,65,620000
6,3,66,599000
3,4,73,535500
1,4,76.22,589000
10,3,80,569000
7,3,63.4,614000
1,3,70.98,690000
3,2,52.7,575000
2,3,67.2,715000
2,4,88.98,535000
3,3,63,558000
1,3,66.3,570000
0,3,46,480000
2,4,102,950000
3,3,120,1000000
0,3,72,860000
5,3,61.4,510000
1,3,66.3,570000
8,2,28,389000
2,3,58.7,650000
4,2,53,399000
1,2,53,530000
1,3,60.5,739000
3,2,36,285000
3,2,53,629000
1,3,56,598000
7,3,65,620000
5,4,83,747000
2,3,67,715000
8,1,31.1,360000
0,2,42,460000
1,1,16.41,190000
10,2,38,407000
3,5,120,1000000
10,3,62.9,545000
4,3,57,445000
4,2,55.6,355000
0,3,70,880000
3,2,33,399000
3,4,86.84,720000
6,4,68,672000
4,3,66,1650000
2,3,67.2,715000
4,3,64,445000
3,4,73,591300
6,1,26,337000
0,4,78,590000
7,3,79,415000
9,2,51,429000
2,3,67.8,579999
10,3,48,480000
5,2,54,590000
4,2,50,522000
2,3,60,514000
1,3,64,850000
1,4,85,620000
1,6,72,570000
9,2,51,429000
4,2,50,1260000
6,3,64,600000
1,2,25,270000
3,2,50,309000
2,3,59,559000
3,4,73,535500
10,1,25.88,350000
2,3,60,435000
1,3,66.3,570000
10,1,26,350000
4,2,50.31,1259000
0,2,50,369000
2,3,67,715000
3,2,28,263000
10,2,44.55,370000
0,4,83,549000
3,3,62.2,520000
1,4,98,1370000
5,2,52,610000
2,3,112.72,1200000
3,3,62,520000
1,3,66.3,570000
1,3,126,450000
10,4,73,830000
10,4,80,705000
3,3,59.8,495000
6,2,46,459000
3,3,64,515000
0,3,55.7,440000
1,2,56,650000
0,2,39,285000
5,3,66.1,625000
3,4,73,535000
1,2,48.8,369000
3,3,64,475000
3,3,51,385000
4,3,64,445000
10,1,25.8,350000
0,2,46.46,510000
7,3,64,470000
10,1,25.8,350000
0,3,75.5,830000
4,3,70,690000
3,2,51,690000
3,1,32,360000
0,4,77.86,625000
2,3,58,696000
5,2,42,465000
5,3,70,625000
3,2,46,498000
9,3,66,612000
2,2,51.8,539000
2,1,35,335000
2,3,67.8,609999
4,2,36.5,409000
8,4,71.59,576000
3,4,75.1,445000
2,3,63.5,517000
1,2,52,515000
9,3,63.5,585000
0,2,51.5,379000
10,3,63.5,582000
2,3,65,450000
3,6,129.6,1270000
0,5,87,850000
9,3,67,612000
4,3,73.74,650000
2,3,64.8,450000
5,3,84.54,879000
4,4,96,805000
1,2,52,515000
0,3,54,429000
1,3,61.4,550000
0,3,65.5,430000
0,4,60.9,406600
9,3,78.2,449000
0,4,74,507000
10,3,60,665000
1,3,65.4,457000
0,3,61,660000
3,3,64.64,535000
1,3,66,561000
3,3,64,590000
8,4,83,769000
1,3,65,750000
1,4,92,859000
3,4,75,590000
0,4,74,518400
0,4,72,532000
4,2,33.4,300000
4,4,92,1500000
3,4,75,590000
2,4,79.8,625000
0,3,72.89,610000
3,2,47.6,490000
3,2,47.6,490000
3,4,94,745000
1,3,63,696000
4,4,70,465000
3,3,63,661500
5,3,68,710000
10,4,91.28,635000
3,4,75,590000
8,4,83,769000
4,3,70.5,559000
3,2,47.6,490000
2,4,78.9,510000
0,3,67.2,675000
2,3,57.6,568000
1,3,61.1,629000
7,2,63.5,535000
4,3,63.37,560000
7,2,63.5,518000
3,4,75,590000
3,4,140,699900
2,4,85,1450000
0,3,61,660000
4,8,88,784990
7,2,64,535000
8,3,71.76,750000
2,3,56.8,650000
4,3,62,540000
0,4,84.9,630000
0,4,72,505000
3,4,75,590000
0,3,67.2,719000
4,3,62,545000
0,4,78,623000
2,4,89,1450000
2,3,64.16,570000
0,4,78,623000
3,4,135,715000
3,3,63.1,749000
1,2,86,670000
2,4,113,1129000
2,4,113.3,1129000
5,7,84.5,830000
3,2,45.77,359000
3,3,63,749000
9,4,77.5,750000
5,3,62.4,640000
1,4,94,870000
4,3,63.05,455000
2,4,113,1129000
1,4,82.6,766000
0,2,39,278000
1,2,53,662500
1,4,96,870000
4,3,60,355000
3,3,65.4,430000
5,3,50.2,550000
0,3,53.15,449000
7,5,119.5,1100000
4,3,65.6,650000
0,4,80,830000
7,6,76.8,755000
2,2,53.5,373000
4,3,65,449000
2,3,73,580000
2,3,65,450000
3,2,53,459000
2,4,113.3,1129000
3,3,63,749000
1,2,52.1,485000
3,3,63.1,770000
5,3,51,429000
0,4,83.3,529000
1,4,82.6,768000
2,3,65.4,600000
0,4,74,518400
4,3,69.16,440000
1,3,69,480000
4,3,64.6,449000
0,3,63.35,470000
1,4,82.6,768000
3,3,63,485000
0,3,63,550000
3,4,87,760000
1,4,94,870000
3,3,65.4,430000
3,3,63.1,749000
2,3,65.4,630000
0,3,63,453600
2,3,64.2,590000
4,3,65.4,799000
10,3,65,449000
3,3,63.1,752000
4,1,60.13,513000
0,4,74,850000
0,4,83,529000
4,4,79.6,514000
1,4,82.6,768000
1,3,70,680000
1,3,74.4,549000
1,4,94,870000
5,2,51,429000
2,3,61.4,549000
