tgl,Kasus harian,"Sembuh
(baru)","Meninggal
(baru)"
340,11749,9674,201
341,12156,12204,191
342,10827,10806,163
343,8242,13038,207
344,8700,10424,213
345,8776,9520,191
346,8435,10145,214
347,9869,11000,275
348,8844,11919,280
349,6765,9237,247
350,6462,6792,184
351,10029,7609,229
352,9687,8002,192
353,9039,10546,181
354,10614,10783,183
355,8054,9835,164
356,7300,8236,173
357,10180,9918,202
358,9775,7996,323
359,7533,7735,240
360,8493,8686,264
361,8232,7261,268
362,6208,7382,195
363,5560,6649,185
364,6680,9212,159
365,5712,8948,193
366,6808,9053,203
367,7264,6440,176
368,6971,6331,129
369,5767,6823,128
370,5826,5146,112
371,6894,8725,281
372,6389,7496,210
373,5633,5556,175
374,5144,8170,117
375,6412,6851,180
376,4607,6016,100
377,4714,5647,97
378,5589,6830,147
379,5414,7716,180
380,6825,9010,162
381,6570,6285,227
382,6279,6007,197
383,5656,5760,108
384,4396,6065,103
385,5744,7177,161
386,5297,6954,154
387,5227,7622,118
388,6107,4656,98
389,4982,5679,85
390,4461,4243,198
391,4083,4279,85
392,5008,5418,132
393,4682,5877,173
394,5937,5635,104
395,6142,7248,196
396,5325,5439,97
397,198,5197,91
398,199,9663,427
399,3712,5800,146
400,4549,4296,162
401,4860,5769,87
402,5504,7640,163
403,5265,6277,121
404,4723,3629,95
405,4127,5219,87
406,4829,5289,126
407,5702,6349,126
408,5656,5747,124
409,6177,6362,167
410,5363,5975,123
411,5041,5963,132
412,4585,4873,96
413,4952,6349,143
414,5549,6728,210
415,5720,7314,230
416,6243,5993,165
417,5436,5920,174
418,4544,4953,154
419,4402,3804,94
420,5944,5589,177
421,4656,4884,168
422,5241,4818,177
423,5833,6015,218
424,5500,5202,187
425,4512,4344,131
426,4394,3740,144
427,4730,4773,153
428,4369,5658,188
429,5285,5943,212
430,5647,5440,147
431,6327,5891,167
432,6130,5494,179
433,3922,4360,170
434,4891,6338,206
435,5021,5592,247
436,4608,4671,152
437,3448,4201,99
438,2633,3807,107
439,2385,4181,144
440,3080,3790,126
441,4295,5754,212
442,4185,5628,172
443,4871,4364,192
444,5797,4969,218
445,5746,4570,186
446,5296,3353,132
447,5280,3550,123
448,5907,5234,127
449,5060,3795,172
450,5034,3189,144
451,6278,3924,136
452,5862,5370,193
453,6565,5417,162
454,6115,4024,142
455,5662,5121,174
456,4824,5360,145
457,5246,6022,185
458,5353,11092,187
459,6486,5950,201
460,6594,4241,153
461,5832,4187,163
462,6993,5594,191
463,6294,5805,189
464,7725,5883,170
465,8892,5661,211
466,8083,6230,193
467,7465,5292,164
468,9868,4655,149
469,8189,6143,237
470,8161,6407,164
471,9944,6229,196
472,12624,7350,277
473,12990,7907,290
474,12906,7016,248
475,13737,6385,371
476,14536,9233,294
477,13668,8375,335
478,15308,7167,303
479,20574,9201,355
480,18872,8557,422
481,21095,7396,358
482,21342,8024,409
483,20694,9480,423
484,20467,9645,463
485,21807,10807,467
486,24836,9874,504
487,25830,11578,539
488,27913,13282,493
489,27233,13127,555
490,29745,14416,558
491,31189,15863,728
492,34379,14835,1040
493,38391,21185,852
494,38124,28975,871
495,35094,28561,826
496,36197,32615,1007
497,40427,34754,891
498,47899,20123,864
499,54517,17762,991
500,56757,19049,982
501,54000,28079,1205
502,51952,27903,1092
503,44721,29264,1093
